,TimeStamp,Trade
240,23-09-2020 05:15:28.869 [DefaultMessageListenerContainer-1],20200923045613
241,23-09-2020 05:15:28.873 [DefaultMessageListenerContainer-1],20200923045614
242,23-09-2020 05:15:28.902 [DefaultMessageListenerContainer-1],20200923045615
243,23-09-2020 05:15:28.909 [DefaultMessageListenerContainer-1],20200923045617
244,23-09-2020 05:15:28.915 [DefaultMessageListenerContainer-1],20200923045618
245,23-09-2020 05:15:28.922 [DefaultMessageListenerContainer-1],20200923045619
246,23-09-2020 05:15:28.927 [DefaultMessageListenerContainer-1],20200923045620
247,23-09-2020 05:15:28.932 [DefaultMessageListenerContainer-1],20200923045621
248,23-09-2020 05:15:28.936 [DefaultMessageListenerContainer-1],20200923045622
249,23-09-2020 05:15:28.940 [DefaultMessageListenerContainer-1],20200923045623
250,23-09-2020 05:15:28.944 [DefaultMessageListenerContainer-1],20200923045624
251,23-09-2020 05:15:28.948 [DefaultMessageListenerContainer-1],20200923045625
252,23-09-2020 05:15:28.952 [DefaultMessageListenerContainer-1],20200923045626
253,23-09-2020 05:15:28.956 [DefaultMessageListenerContainer-1],20200923045627
254,23-09-2020 05:15:28.960 [DefaultMessageListenerContainer-1],20200923045628
255,23-09-2020 05:15:28.964 [DefaultMessageListenerContainer-1],20200923045629
256,23-09-2020 05:15:28.968 [DefaultMessageListenerContainer-1],20200923045630
257,23-09-2020 05:15:28.972 [DefaultMessageListenerContainer-1],20200923045631
258,23-09-2020 05:15:28.975 [DefaultMessageListenerContainer-1],20200923045632
259,23-09-2020 05:15:28.979 [DefaultMessageListenerContainer-1],20200923045633
260,23-09-2020 05:15:28.983 [DefaultMessageListenerContainer-1],20200923045634
261,23-09-2020 05:15:28.987 [DefaultMessageListenerContainer-1],20200923045636
262,23-09-2020 05:15:28.990 [DefaultMessageListenerContainer-1],20200923045637
263,23-09-2020 05:15:29.004 [DefaultMessageListenerContainer-1],20200923045638
264,23-09-2020 05:15:29.009 [DefaultMessageListenerContainer-1],20200923045639
265,23-09-2020 05:15:29.013 [DefaultMessageListenerContainer-1],20200923045640
266,23-09-2020 05:15:29.021 [DefaultMessageListenerContainer-1],20200923045641
267,23-09-2020 05:15:29.024 [DefaultMessageListenerContainer-1],20200923045642
268,23-09-2020 05:15:29.028 [DefaultMessageListenerContainer-1],20200923045643
269,23-09-2020 05:15:29.032 [DefaultMessageListenerContainer-1],20200923045644
270,23-09-2020 05:15:29.036 [DefaultMessageListenerContainer-1],20200923045645
271,23-09-2020 05:15:29.040 [DefaultMessageListenerContainer-1],20200923045646
272,23-09-2020 05:15:29.046 [DefaultMessageListenerContainer-1],20200923045647
273,23-09-2020 05:15:29.051 [DefaultMessageListenerContainer-1],20200923045648
274,23-09-2020 05:15:29.057 [DefaultMessageListenerContainer-1],20200923045649
275,23-09-2020 05:15:29.060 [DefaultMessageListenerContainer-1],20200923045650
276,23-09-2020 05:15:29.065 [DefaultMessageListenerContainer-1],20200923045651
277,23-09-2020 05:15:29.069 [DefaultMessageListenerContainer-1],20200923045652
278,23-09-2020 05:15:29.073 [DefaultMessageListenerContainer-1],20200923045653
279,23-09-2020 05:15:29.077 [DefaultMessageListenerContainer-1],20200923045654
280,23-09-2020 05:15:29.081 [DefaultMessageListenerContainer-1],20200923045656
281,23-09-2020 05:15:29.084 [DefaultMessageListenerContainer-1],20200923045657
282,23-09-2020 05:15:29.088 [DefaultMessageListenerContainer-1],20200923045658
283,23-09-2020 05:15:29.092 [DefaultMessageListenerContainer-1],20200923045659
284,23-09-2020 05:15:29.096 [DefaultMessageListenerContainer-1],20200923045700
285,23-09-2020 05:15:29.101 [DefaultMessageListenerContainer-1],20200923045701
286,23-09-2020 05:15:29.106 [DefaultMessageListenerContainer-1],20200923045702
287,23-09-2020 05:15:29.110 [DefaultMessageListenerContainer-1],20200923045703
288,23-09-2020 05:15:29.115 [DefaultMessageListenerContainer-1],20200923045704
289,23-09-2020 05:15:29.121 [DefaultMessageListenerContainer-1],20200923045705
290,23-09-2020 05:15:29.125 [DefaultMessageListenerContainer-1],20200923045706
291,23-09-2020 05:15:29.130 [DefaultMessageListenerContainer-1],20200923045707
292,23-09-2020 05:15:29.135 [DefaultMessageListenerContainer-1],20200923045708
293,23-09-2020 05:15:29.139 [DefaultMessageListenerContainer-1],20200923045709
294,23-09-2020 05:15:29.143 [DefaultMessageListenerContainer-1],20200923045710
