,Trade,StartTime,EndTime,ElapseTime
533,20200923045748,23-09-2020 05:15:31.139000,23-09-2020 05:18:25.339000,174200.0
534,20200923045749,23-09-2020 05:15:29.280000,23-09-2020 05:18:22.724000,173444.0
535,20200923045749,23-09-2020 05:15:31.143000,23-09-2020 05:19:10.358000,219215.0
536,20200923045750,23-09-2020 05:15:31.150000,23-09-2020 05:18:28.804000,177654.0
537,20200923045750,23-09-2020 05:15:29.284000,23-09-2020 05:18:59.961000,210677.0
538,20200923045752,23-09-2020 05:15:29.288000,23-09-2020 05:17:38.502000,129214.0
539,20200923045752,23-09-2020 05:15:31.155000,23-09-2020 05:20:29.745000,298590.0
540,20200923045753,23-09-2020 05:15:29.292000,23-09-2020 05:20:35.335000,306043.0
541,20200923045753,23-09-2020 05:15:31.159000,23-09-2020 05:17:36.708000,125549.0
542,20200923045754,23-09-2020 05:15:29.296000,23-09-2020 05:19:12.464000,223168.0
543,20200923045754,23-09-2020 05:15:31.163000,23-09-2020 05:18:24.498000,173335.0
544,20200923045755,23-09-2020 05:15:31.167000,23-09-2020 05:18:26.104000,174937.0
545,20200923045755,23-09-2020 05:15:29.300000,23-09-2020 05:20:37.631000,308331.0
546,20200923045756,23-09-2020 05:15:31.170000,23-09-2020 05:17:39.494000,128324.00000000001
547,20200923045756,23-09-2020 05:15:29.310000,23-09-2020 05:19:09.305000,219995.0
548,20200923045757,23-09-2020 05:15:31.174000,23-09-2020 05:19:00.771000,209597.0
549,20200923045757,23-09-2020 05:15:29.317000,23-09-2020 05:17:40.902000,131585.0
550,20200923045758,23-09-2020 05:15:31.178000,23-09-2020 05:19:01.964000,210786.0
551,20200923045758,23-09-2020 05:15:29.323000,23-09-2020 05:18:31.308000,181985.0
552,20200923045759,23-09-2020 05:15:31.181000,23-09-2020 05:18:32.130000,180949.0
553,20200923045759,23-09-2020 05:15:29.336000,23-09-2020 05:20:25.863000,296527.0
554,20200923045800,23-09-2020 05:15:29.342000,23-09-2020 05:20:33.521000,304179.0
555,20200923045800,23-09-2020 05:15:31.185000,23-09-2020 05:17:39.916000,128731.0
556,20200923045801,23-09-2020 05:15:29.347000,23-09-2020 05:18:29.706000,180359.0
557,20200923045801,23-09-2020 05:15:31.197000,23-09-2020 05:20:34.537000,303340.0
558,20200923045802,23-09-2020 05:15:29.351000,23-09-2020 05:19:11.600000,222249.0
559,20200923045802,23-09-2020 05:15:31.208000,23-09-2020 05:17:41.450000,130241.99999999999
560,20200923045803,23-09-2020 05:15:31.236000,23-09-2020 05:19:14.476000,223240.0
561,20200923045803,23-09-2020 05:15:29.356000,23-09-2020 05:18:27.899000,178543.0
562,20200923045804,23-09-2020 05:15:31.244000,23-09-2020 05:19:04.467000,213223.0
563,20200923045804,23-09-2020 05:15:29.360000,23-09-2020 05:17:43.592000,134232.0
564,20200923045805,23-09-2020 05:15:31.248000,23-09-2020 05:17:40.420000,129172.0
565,20200923045805,23-09-2020 05:15:29.364000,23-09-2020 05:20:39.811000,310447.0
566,20200923045806,23-09-2020 05:15:29.368000,23-09-2020 05:19:17.126000,227758.0
567,20200923045806,23-09-2020 05:15:31.252000,23-09-2020 05:18:30.523000,179271.0
568,20200923045807,23-09-2020 05:15:29.371000,23-09-2020 05:20:41.728000,312357.0
569,20200923045807,23-09-2020 05:15:31.257000,23-09-2020 05:17:41.913000,130656.0
570,20200923045808,23-09-2020 05:15:31.261000,23-09-2020 05:20:27.823000,296562.0
571,20200923045808,23-09-2020 05:15:29.375000,23-09-2020 05:18:35.427000,186052.0
572,20200923045809,23-09-2020 05:15:29.378000,23-09-2020 05:19:20.221000,230843.0
573,20200923045809,23-09-2020 05:15:31.266000,23-09-2020 05:17:42.504000,131238.0
